codigo,nombre,parte_analizada,humedad,energia_kcal,energia_kj,proteina,lipidos,carb_totales,carb_disp,fibra,cenizas,calcio,hierro,sodio,fosforo,yodo,zinc,magnesio,potasio,tiamina,riboflavina,niacina,folatos,vit_b12,vit_c,vit_a_er,grasa_sat,grasa_mono,grasa_poli,colesterol,parte_comestible_pct
B096,,,,,,,,,,,,2.0,6.0,13.0,24.0,10.0,3.0,10.0,235.0,3.0,3.0,3.0,29.0,0.0,20.0,0.0,90.0,,,,
B100,,,,,,,,,,,,41.0,5.0,5.0,33.0,10.0,3.0,17.0,262.0,7.0,6.0,3.0,22.0,0.0,33.0,3.0,100.0,,,,
B105,"Tomate, extracto, fresco Extracto/Jugo M",,4.0,19.0,82.0,6.0,0.0,40.0,35.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,
B106,,,,,,,,,,,,16.0,5.0,41.0,45.0,2.0,16.0,100.0,3.0,2.0,5.0,11.0,0.0,21.0,1.0,100.0,,,,,
B107,,,,,,,,,,,,16.0,314.0,3003218000308.0,27.0,0.0,30.0,1.0,80.0,,,,,,,,,,,,
B109,,,,,,,,,,,,422.0,29.0,20.0,2.0,1.0,265.0,7.0,4.0,6.0,14.0,0.0,2.0,1667.0,100.0,,,,,,
B110,,,,,,,,,,,,27.0,4.0,351.0,35.0,20.0,2.0,10.0,320.0,4.0,4.0,4.0,22.0,0.0,3.0,1318.0,85.0,,,,
C002,"Aguacate Lorena, crudo Pulpa sin",Semilla,743.0,179.0,741.0,16.0,133.0,10.0,3.4,65.6,0.8,10.0,4.0,6.0,40.0,20.0,5.0,27.0,4586.0,5.0,12.0,14.0,81.0,0.0,8.0,3.0,77.0,,,,
C003,"Almendra, Nuez",,12.0,639.0,2642.0,186.0,541.0,139.0,30.0,109.0,1.4,,,,,,,,,,,,,,,,,,,,
C004,"Anón, crudo Pulpa sin semillas",,69.7,124.0,527.0,2.3,0.1,270.0,239.0,3.1,0.9,10.0,4.0,6.0,40.0,2.0,26.0,273.0,10.0,17.0,8.0,14.0,0.0,40.0,1.0,40.0,,,,,
C005,"Babaco, maduro, crudo Pulpa sin semillas 92,3 32-|",,135.0,0.9,0.2,6.5,6.0,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,
C006,"Babaco, pintón, crudo Pulpa sin semillas",,91.9,34.0,143.0,0.9,0.2,6.9,6.4,0.5,0.2,33.0,0.2,5.0,14.0,0.1,6.0,224.0,0.02,0.06,1.0,0.0,0.0,12.0,45.0,,,,,,
C007,,,,,,,,,,,,716.0,17.0,16.0,14.0,1.6,198.0,2.0,6.0,10.0,0.0,0.0,12.0,45.0,,,,,,,
C008,"Badea, cruda Pulpa sin semillas",,87.9,46.0,194.0,0.9,0.2,10.1,0.9,,,10.0,6.0,22.0,0.0,11.0,27.0,0.0,20.0,7.0,20.0,,,,,,,,,,
C010,"Banano común, crudo",Pulpa,75.3,101.0,430.0,1.5,0.1,223.0,19.6,2.6,0.8,8.0,0.9,3.0,27.0,2.0,0.2,29.0,328.0,0.05,0.03,0.6,21.0,0.0,19.0,22.0,70.0,,,,
C012,"Breva, madura, cruda Pulpa sin semillas",,29.0,48.0,201.0,0.9,0.2,9.2,6.4,2.8,0.7,25.0,4.0,2.0,24.0,15.0,2.0,16.0,232.0,4.0,3.0,3.0,6.0,0.0,5.0,8.0,100.0,,,,
C013,,,,,,,,,,,,68.0,5.0,2.0,34.0,15.0,2.0,16.0,232.0,5.0,6.0,3.0,6.0,0.0,18.0,2.0,100.0,,,,
C014,"Cereza, cruda Pulpa sin",Semilla,74.1,104.0,442.0,1.2,0.1,237.0,21.9,1.8,0.9,,,,,,,,,,,,,,,,,,,,
C015,"Chirimoya, cruda Pulpa sin semillas",,76.7,95.0,403.0,15.0,5.0,202.0,180.0,22.0,1.1,7.0,5.0,0.0,36.0,15.0,2.0,5.0,31.0,10.0,1.0,9.0,18.0,0.0,5.0,5.0,51.0,,,,
C016,"Chontaduro, crudo Pulpa sin",Semilla,48.2,358.0,1482.0,6.3,25.7,19.0,6.3,12.7,0.8,81.0,70.0,22.0,359.0,9.0,100.0,620.0,4.0,28.0,14.0,0.0,18.0,77.0,,,,,,,
C017,"Ciruela, común, cruda Pulpa sin",Semilla,87.8,53.0,222.0,6.0,1.0,111.0,87.0,24.0,4.0,,,,,,,,,,,,,,,,,,,,
